dataset,label,is_random_baseline_beaten,clf_or_regr,n_classes_or_-,best_ml_methods,best_ml_f1_or_r2,best_dl_methods,best_dl_f1_or_r2
Cognitive_load_ready_data_gazes_0.02,temporal_label,True,regr,-,distance_features,0.6028531887722737,merged_heatmap,0.0418839454650878
Crossmodal,condition_label,True,clf,5,extended_features,0.427815604395682,"2d_baseline, 2d_gaf, merged_baseline, merged_mtf",0.2073818973565348
Dyslexia_1_ready_data_fixations,Dyslexia_label,True,clf,2,"all_features, complex_features, distance_features, extended_features, simple_features",0.5165323701028064,timeseries,0.6760443307757886
Dyslexia_1_ready_data_fixations,meta_Age_label,True,clf,4,"all_features, complex_features, distance_features, extended_features, simple_features",1.0,"2d_heatmap, timeseries",0.4065323565323565
Dyslexia_1_ready_data_fixations,meta_Sex_label,True,clf,2,"all_features, complex_features, distance_features, extended_features, simple_features",1.0,"2d_heatmap, merged_baseline, merged_gaf, merged_heatmap",0.53125
Dyslexia_2_ready_data_fixations,Dyslexia_label,True,clf,2,"all_features, extended_features, simple_features",0.7769746504923026,"merged_gaf, merged_heatmap",0.6669090350192712
Dyslexia_2_ready_data_fixations,meta_Age_label,True,clf,6,"all_features, complex_features, distance_features, extended_features, simple_features",1.0,"merged_baseline, merged_mtf, timeseries",0.2059849132498036
Dyslexia_Czech_ready_data_fixations,Dyslexia_label,True,clf,2,"distance_features, extended_features, simple_features",0.8095238095238095,"2d_baseline, 2d_mtf, merged_baseline",0.7379466817923993
Emotions_ready_data_gazes_0.02,Anger_label,True,regr,-,complex_features,0.665082402076018,timeseries,-0.0282701253890991
Emotions_ready_data_gazes_0.02,Disgust_label,True,regr,-,distance_features,0.4752206264045712,timeseries,-0.0028944015502929
Emotions_ready_data_gazes_0.02,Sadness_label,True,regr,-,complex_features,0.6321990393859618,"2d_baseline, timeseries",-0.0216678380966186
Emotions_ready_data_gazes_0.02,Tenderness_label,True,regr,-,"distance_features, simple_features",0.2582316848793896,"merged_gaf, timeseries",-0.0144436359405517
Filtered,group_category_label,True,clf,6,"all_features, complex_features",0.6407089942380837,"2d_heatmap, merged_baseline, merged_heatmap",0.247143592887139
Filtered,meta_delay_label,True,clf,2,"all_features, complex_features, distance_features, extended_features, simple_features",1.0,timeseries,0.892100564590069
Filtered,meta_spatial_filter_label,True,clf,3,"all_features, complex_features, distance_features, extended_features, simple_features",1.0,"2d_baseline, 2d_heatmap, 2d_mtf, merged_baseline, merged_gaf, timeseries",0.3865059961632225
Gap,gap_label,True,clf,4,extended_features,0.3711733305069917,"2d_baseline, 2d_gaf, 2d_heatmap, merged_baseline, merged_gaf, merged_heatmap",0.2606030540334146
Gap,group_category_label,True,clf,2,"all_features, complex_features, extended_features, simple_features",0.6991442324835087,"2d_heatmap, merged_heatmap",0.6981446737544299
Head_fixed,meta_condition_label,False,clf,4,,,"2d_baseline, merged_baseline, merged_gaf, merged_mtf",0.2718407636827803
Head_fixed,meta_guided_viewing_label,False,clf,2,,,"2d_baseline, 2d_gaf, 2d_heatmap, 2d_mtf, merged_baseline, merged_gaf, merged_heatmap, merged_mtf, timeseries",0.5244994241985215
Memory_1,group_category_label,True,clf,4,"all_features, complex_features",0.4028609668842849,"2d_baseline, 2d_gaf, 2d_mtf, merged_baseline, merged_gaf, merged_heatmap",0.3261684133163084
Memory_1,group_iteration_label,True,clf,5,"all_features, distance_features",0.3953207022103288,"2d_baseline, merged_baseline, merged_heatmap",0.2325439369688136
Memory_2,condition_label,True,clf,3,"all_features, complex_features",0.538817472210635,"2d_baseline, merged_baseline",0.7075655580487732
Memory_2,group_iteration_label,True,clf,6,all_features,0.3614251054613336,"2d_baseline, 2d_heatmap, merged_baseline, merged_heatmap",0.2516932656078635
Paris_experiment_ready_data_fixations,TEXT_TYPE_2_label,True,clf,4,"all_features, simple_features",0.7672748223545228,"2d_baseline, 2d_gaf, 2d_heatmap",0.317885623148781
Paris_experiment_ready_data_fixations,TEXT_TYPE_label,True,clf,3,"all_features, complex_features, distance_features, extended_features, simple_features",1.0,"2d_heatmap, merged_baseline",0.451369328570821
Patch,scr_label,False,clf,5,"all_features, complex_features, extended_features, simple_features",0.2467581510685309,merged_baseline,0.2717379932411822
Surgical_skills_1_fixations,Performance_label,True,regr,-,extended_features,0.5652311696602275,merged_mtf,0.0482291579246521
Surgical_skills_2_fixations,Performance_label,True,regr,-,"complex_features, distance_features, simple_features",1.0,2d_baseline,-0.1068453788757324
Visual_search_ready_data_saccades,correct_or_not_label,True,clf,2,"distance_features, extended_features",1.0,,
Webtask,condition_label,True,clf,4,"all_features, extended_features, simple_features",0.966613247863248,timeseries,0.6931612426035503
Webtask,familiarity_label,False,clf,6,"all_features, complex_features, distance_features, extended_features, simple_features",0.1738468223565859,"2d_baseline, 2d_heatmap, 2d_mtf, merged_baseline, merged_heatmap, merged_mtf, timeseries",0.2621010638297872
Webtask,relevance_label,True,clf,6,complex_features,0.3547298436368036,"2d_heatmap, merged_baseline, merged_gaf, merged_heatmap",0.1826381101891306
Webtask,search_result_label,True,clf,6,"complex_features, distance_features, extended_features",0.361210729513668,"2d_baseline, 2d_gaf, 2d_mtf, merged_gaf, merged_heatmap, merged_mtf",0.1793650938446219
Webtask_school,condition_label,True,clf,4,"all_features, extended_features, simple_features",0.9823504983388704,"2d_mtf, merged_gaf",0.6753716013455402
Webtask_school,familiarity_label,False,clf,5,extended_features,0.2153482880755607,"2d_baseline, 2d_gaf, 2d_heatmap, merged_baseline, merged_gaf, merged_heatmap, merged_mtf, timeseries",0.2080496557074968
Webtask_school,relevance_label,True,clf,6,extended_features,0.3505704654071149,"2d_heatmap, merged_heatmap",0.1862257946962301
Webtask_school,search_result_label,True,clf,6,all_features,0.4202025980684518,merged_heatmap,0.1958801968174377
